and_or.metta	DELEGATED-DIFF
atomops.metta	NO-COMPILE
booleansolver.metta	DELEGATED-CHECKED
builin_types.metta	NO-COMPILE
case.metta	NO-COMPILE
case2.metta	NO-COMPILE
caseconstrain.metta	DELEGATED-CHECKED
caseempty.metta	NO-COMPILE
casenew.metta	NO-COMPILE
chain.metta	NO-COMPILE
collapse.metta	DELEGATED-TRUSTED
comments.metta	DELEGATED-CHECKED
constanthead.metta	DELEGATED-CHECKED
curry.metta	DELEGATED-DIFF
cut.metta	NO-COMPILE
empty.metta	NO-COMPILE
factorial.metta	DELEGATED-CHECKED
fibsmart.metta	DELEGATED-CHECKED
fibsmartimport.metta	DELEGATED-DIFF
foldall.metta	NO-COMPILE
foldallmatch.metta	DELEGATED-DIFF
foldallspacecount.metta	DELEGATED-DIFF
forall.metta	NO-COMPILE
functionhead.metta	DELEGATED-CHECKED
functionhead2.metta	NO-COMPILE
functionhead3.metta	DELEGATED-TRUSTED
functionremoval.metta	NO-COMPILE
functionremovalspec.metta	NO-COMPILE
functiontypes.metta	DELEGATED-DIFF
he_assert.metta	NO-COMPILE
he_equalreduct.metta	NO-COMPILE
he_evaluation.metta	NO-COMPILE
he_math.metta	DELEGATED-DIFF
he_quoting.metta	NO-COMPILE
he_types.metta	UNCERTIFIED
holfunctions.metta	NO-COMPILE
holfunctions_intrinsicop.metta	NO-COMPILE
identity.metta	DELEGATED-CHECKED
if.metta	DELEGATED-CHECKED
if2.metta	DELEGATED-DIFF
if3.metta	DELEGATED-DIFF
if4.metta	DELEGATED-CHECKED
ifcasenondet.metta	NO-COMPILE
ifsimple.metta	DELEGATED-CHECKED
invertfunction.metta	DELEGATED-CHECKED
iter.metta	NO-COMPILE
let_superpose_if_case.metta	NO-COMPILE
letext.metta	DELEGATED-CHECKED
letlet.metta	NO-COMPILE
letstar.metta	NO-COMPILE
library.metta	DELEGATED-DIFF
listhead.metta	DELEGATED-CHECKED
llm_cities.metta	NO-COMPILE
logicprog.metta	DELEGATED-TRUSTED
logicprogset.metta	DELEGATED-CHECKED
matchnested.metta	NO-COMPILE
matchnested2.metta	NO-COMPILE
matchsingle.metta	NO-COMPILE
matchtypes.metta	UNCERTIFIED
math.metta	DELEGATED-DIFF
meta_types.metta	NO-COMPILE
metta4_prog.metta	NO-COMPILE
mettaset.metta	NO-COMPILE
multicall.metta	DELEGATED-TRUSTED
multiset_operations.metta	DELEGATED-DIFF
nestedcons.metta	DELEGATED-CHECKED
once.metta	NO-COMPILE
patrick_iterate_fib.metta	DELEGATED-DIFF
pln_roman.metta	UNCERTIFIED
pln_tuffy.metta	NO-COMPILE
plntest.metta	DELEGATED-DIFF
plntestdirect.metta	DELEGATED-DIFF
recursive_types2.metta	DELEGATED-DIFF
roman_test.metta	NO-COMPILE
selfprog.metta	NO-COMPILE
smartdispatch.metta	DELEGATED-DIFF
spacefunction.metta	NO-COMPILE
spaces.metta	NO-COMPILE
spaces2.metta	NO-COMPILE
spaces3.metta	NO-COMPILE
spaces_find.metta	DELEGATED-DIFF
state.metta	NO-COMPILE
streamops.metta	NO-COMPILE
supercollapse.metta	NO-COMPILE
superpose_nested.metta	NO-COMPILE
superpose_primes.metta	DELEGATED-CHECKED
test_alpha_unique_atom.metta	NO-COMPILE
test_backward_v02.metta	DELEGATED-CHECKED
test_backward_v03.metta	DELEGATED-TRUSTED
test_backward_v04.metta	DELEGATED-DIFF
test_backward_v05.metta	DELEGATED-DIFF
test_backward_v06.metta	DELEGATED-DIFF
test_backward_v06_fixed.metta	DELEGATED-DIFF
test_backward_v07.metta	DELEGATED-DIFF
test_backward_v08.metta	DELEGATED-DIFF
test_backward_v09.metta	DELEGATED-DIFF
test_collapse.metta	DELEGATED-DIFF
test_deduce_raw.metta	DELEGATED-DIFF
test_evidence_kind.metta	DELEGATED-DIFF
test_evidence_kind_import.metta	DELEGATED-DIFF
test_evidence_kind_inline.metta	DELEGATED-CHECKED
test_let_match.metta	DELEGATED-DIFF
test_match_3arg.metta	DELEGATED-TRUSTED
test_match_simple.metta	NO-COMPILE
test_match_simple2.metta	DELEGATED-CHECKED
test_nal_import.metta	DELEGATED-DIFF
test_nal_test_primitive.metta	DELEGATED-DIFF
test_nal_v032.metta	DELEGATED-DIFF
test_nal_v033.metta	DELEGATED-DIFF
test_nal_v034.metta	DELEGATED-DIFF
test_protocosmoMain.metta	DELEGATED-DIFF
test_stv_match.metta	DELEGATED-CHECKED
test_ulc_accessors.metta	DELEGATED-DIFF
tests.metta	NO-COMPILE
twostage.metta	DELEGATED-CHECKED
types.metta	NO-COMPILE
types_dependent.metta	NO-COMPILE
