and_or.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
atomops.metta	TRACED	7/9	CHECKED	7	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
booleansolver.metta	TRACED	2/2	CHECKED	2	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
builin_types.metta	TRACED	0/36	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
case.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
case2.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
caseconstrain.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
caseempty.metta	TRACED	2/2	CHECKED	2	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
casenew.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
chain.metta	TRACED	2/2	CHECKED	2	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
collapse.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.101	
comments.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
constanthead.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
curry.metta	TRACED	0/6	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
cut.metta	TRACED	0/2	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
empty.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
factorial.metta	TRACED	1/1	CHECKED	0	PARTIAL	trusted=0	rejected=1	exit=0	budget=3000000	seconds=0.102	factorial-q0-0.sexp:REJECTED: derivation does not check against the program
fibsmart.metta	TRACED	1/1	CHECKED	0	PARTIAL	trusted=0	rejected=1	exit=0	budget=3000000	seconds=0.102	fibsmart-q0-0.sexp:REJECTED: derivation does not check against the program
fibsmartimport.metta	TRACED	1/1	CHECKED	0	PARTIAL	trusted=0	rejected=1	exit=0	budget=3000000	seconds=0.102	fibsmartimport-q0-0.sexp:REJECTED: derivation does not check against the program
foldall.metta	TRACED	10/10	CHECKED	10	PLEATTA-CERTIFIED	trusted=10	rejected=0	exit=0	budget=3000000	seconds=0.102	
foldallmatch.metta	TRACED	2/2	CHECKED	2	PLEATTA-CERTIFIED	trusted=2	rejected=0	exit=0	budget=3000000	seconds=0.102	
foldallspacecount.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
forall.metta	TRACED	12/12	CHECKED	12	PLEATTA-CERTIFIED	trusted=12	rejected=0	exit=0	budget=3000000	seconds=0.102	
functionhead.metta	TRACED	2/2	CHECKED	2	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
functionhead2.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
functionhead3.metta	TRACED	6/6	CHECKED	6	PLEATTA-CERTIFIED	trusted=6	rejected=0	exit=0	budget=3000000	seconds=0.102	
functionremoval.metta	TRACED	1/8	CHECKED	1	PARTIAL	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
functionremovalspec.metta	TRACED	3/6	CHECKED	3	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
functiontypes.metta	TRACED	4/4	CHECKED	4	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
he_assert.metta	TRACED	2/0	CHECKED	0	TRACE-FAIL	trusted=0	rejected=2	exit=1	budget=3000000	seconds=14.311	he_assert-q0-0.sexp:REJECTED: derivation does not check against the program | he_assert-q3-0.sexp:REJECTED: derivation does not check against the program | INTERNAL PANIC: out of memory
he_equalreduct.metta	TRACED	2/4	CHECKED	1	PARTIAL	trusted=0	rejected=1	exit=0	budget=3000000	seconds=0.102	he_equalreduct-q3-0.sexp:REJECTED: derivation does not check against the program
he_evaluation.metta	TRACED	2/4	CHECKED	2	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
he_math.metta	TRACED	0/19	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
he_quoting.metta	TRACED	3/6	CHECKED	3	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
he_types.metta	TRACED	7/7	CHECKED	7	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
holfunctions.metta	TRACED	7/7	CHECKED	7	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
holfunctions_intrinsicop.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.101	
identity.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
if.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
if2.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
if3.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
if4.metta	TRACED	1/1	CHECKED	0	PARTIAL	trusted=0	rejected=1	exit=0	budget=3000000	seconds=0.102	if4-q0-0.sexp:REJECTED: derivation does not check against the program
ifcasenondet.metta	TRACED	1/2	CHECKED	1	PARTIAL	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
ifsimple.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
invertfunction.metta	TRACED	1/0	CHECKED	1	TRACE-FAIL	trusted=0	rejected=0	exit=1	budget=3000000	seconds=18.413	INTERNAL PANIC: out of memory
iter.metta	TRACED	0/0	CHECKED	0	TRACE-FAIL	trusted=0	rejected=0	exit=1	budget=3000000	seconds=15.212	INTERNAL PANIC: out of memory
let_superpose_if_case.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
letext.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
letlet.metta	TRACED	0/0	CHECKED	0	TRACE-FAIL	trusted=0	rejected=0	exit=1	budget=3000000	seconds=13.110	INTERNAL PANIC: out of memory
letstar.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
library.metta	TRACED	1/2	CHECKED	1	PARTIAL	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
listhead.metta	TRACED	3/3	CHECKED	3	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
llm_cities.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
logicprog.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=1	rejected=0	exit=0	budget=3000000	seconds=0.102	
logicprogset.metta	TRACED	1/1	CHECKED	1	PLEATTA-CERTIFIED	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
matchnested.metta	TRACED	0/1	CHECKED	0	NOTRACE	trusted=0	rejected=0	exit=0	budget=3000000	seconds=0.102	
